registration_code,school_short_name,school_full_name,school_old_name,district,education_office,post_adress,longitude,latitude,places_amount,pupils,staf,students_per_teacher
23888583,Середня загальноосвітня школа №41,Середня загальноосвітня школа №41 м. Львова,Середня загальноосвітня школа І-ІІІ ступенів №41 м. Львова,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79491, м. Львів, смт Брюховичі, вул. А. Макаренка, 19",23.950907,49.902404,450.0,414,78.23,5.292087434488048
23887307,Середня загальноосвітня школа №42,Середня загальноосвітня школа №42 м. Львова,Середня загальноосвітня школа №42 міста Львова,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79038, м. Львів, вул. Каштанова, 9",24.07913558,49.82282811,1100.0,1042,125.97,8.271810748590934
22350315,Середня загальноосвітня школа №60,Середня загальноосвітня школа №60 м. Львова,Середня загальноосвітня школа №60 міста Львова,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79022, м. Львів, вул. П. Полтави, 32",23.96320643,49.82531035,893.0,930,127.53,7.292401787814632
22336611,Середня загальноосвітня школа №62,Середня загальноосвітня школа №62,Середня загальноосвітня школа №62,Галицький,Відділ освіти Галицького та Франківського районів,"79000, м. Львів, просп. Свободи, 16",24.0284703,49.84182286,1000.0,695,107.28,6.478374347501864
23887336,Середня загальноосвітня школа №63,Середня загальноосвітня школа №63 м. Львова,Середня загальноосвітня школа №63 м. Львова,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79014, м. Львів, вул. Личаківська, 171",24.06294902,49.83713722,620.0,583,82.81,7.040212534718029
22350338,Середня загальноосвітня школа №65,Середня загальноосвітня школа №65 м. Львова,Середня загальноосвітня школа №65,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79052, м. Львів, вул. Роксялани, 35",23.96286726,49.84518471,1568.0,1669,177.84,9.384840305892938
22350249,Середня загальноосвітня школа №67,Середня загальноосвітня школа №67 м. Львова,Середня загальноосвітня школа №67,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79025, м. Львів, вул. Сяйво, 18",23.97939555,49.84482598,1203.0,1016,125.31,8.107892426781582
22350278,Середня загальноосвітня школа №68,Середня загальноосвітня школа №68 м. Львова,Львівська середня загальноосвітня школа №68,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79040, м. Львів, вул. Дозвільна, 3",23.9568048,49.82663257,679.0,635,75.47,8.413939313634557
23887342,Середня загальноосвітня школа №70,Середня загальноосвітня школа №70 м. Львова,Середня загальноосвітня школа №70,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79014, м. Львів, вул. Кривчицька Дорога, 1",24.06670226,49.84038122,600.0,600,72.43,8.283860278889962
20781471,Середня загальноосвітня школа №72,Середня загальноосвітня школа №72,Середня загальноосвітня школа №72,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79066, м. Львів, вул. Зубрівська, 1",24.06428676,49.79865078,672.0,471,76.09,6.190038112761203
